word,verdict,measured,decided,note
pocked,bonus,,2026-08-11T14:51:34.187Z,
frocked,bonus,,2026-08-11T14:57:42.003Z,
counterclaim,bonus,1.5653054228849321,2026-08-11T20:51:27.571Z,
declaim,bonus,0.7579823676484869,2026-08-11T20:51:35.998Z,
filename,bonus,1.2505635665803914,2026-08-11T20:51:52.006Z,
inflame,bonus,1.4994767341858186,2026-08-11T20:51:55.917Z,
selfsame,bonus,0.4936628530284889,2026-08-11T20:52:49.139Z,
inflame,answer-common,1.4994767341858186,2026-08-11T20:55:07.363Z,
inflame,none,1.4994767341858186,2026-08-11T20:55:13.637Z,
overslept,answer-rare,,2026-08-12T19:02:11.308Z,
leapt,bonus,1.4200667976418382,2026-08-12T19:02:21.216Z,
sept,bonus,0.2019700737078001,2026-08-12T19:03:09.008Z,
unwept,bonus,0.1416752039341039,2026-08-12T19:03:22.865Z,
windswept,bonus,1.8798642425402834,2026-08-12T19:03:26.301Z,
airframe,bonus,0.6776578322624045,2026-08-12T19:10:36.343Z,
overcame,answer-common,,2026-08-12T19:10:49.735Z,
befall,bonus,1.438419861234054,2026-08-14T13:58:43.368Z,
blackball,bonus,1.3268473189030912,2026-08-14T13:58:47.848Z,
butterball,bonus,1.4345037089532373,2026-08-14T13:58:51.642Z,
caterwaul,bonus,0.4324033608700727,2026-08-14T13:59:02.928Z,
consol,bonus,0.36487397829895835,2026-08-14T13:59:30.824Z,
footfall,bonus,1.0931396404111848,2026-08-14T13:59:49.007Z,
forestall,bonus,0.9657258912783092,2026-08-14T13:59:51.112Z,
footwall,bonus,0.12182042563369762,2026-08-14T13:59:54.079Z,
guildhall,bonus,0.5607030318750833,2026-08-14T13:59:58.313Z,
hydrosol,bonus,0.34512553147047187,2026-08-14T14:00:04.207Z,
landfall,bonus,1.77540401199927,2026-08-14T14:00:08.573Z,
loll,bonus,0.18823038336324605,2026-08-14T14:00:10.792Z,
metall,bonus,,2026-08-14T14:00:19.038Z,
miscall,bonus,0.7217224830630927,2026-08-14T14:00:25.906Z,
natal,bonus,1.257776619126386,2026-08-14T14:00:35.142Z,
overcall,bonus,0.1419971863727913,2026-08-14T14:00:46.613Z,
moll,bonus,0.41084466357147725,2026-08-14T14:01:04.529Z,
phenol,bonus,0.6685024012387729,2026-08-14T14:01:14.952Z,
pratfall,bonus,0.23206464453889072,2026-08-14T14:01:25.831Z,
racquetball,bonus,1.7416696561159253,2026-08-14T14:01:32.798Z,
retinol,bonus,0.9322379011688748,2026-08-14T14:01:39.697Z,
scrawl,bonus,1.700683187762525,2026-08-14T14:01:44.219Z,
shortfall,bonus,1.7666816785589308,2026-08-14T14:01:55.321Z,
snowfall,bonus,2.0375421284541,2026-08-14T14:01:59.591Z,
sol,bonus,0.34946254995849674,2026-08-14T14:02:04.822Z,
stickball,bonus,0.9637983006665514,2026-08-14T14:02:16.478Z,
thrall,bonus,0.9963643030791746,2026-08-14T14:02:28.722Z,
wherewithal,answer-rare,1.2045363196377519,2026-08-14T14:02:37.940Z,
windfall,bonus,1.9717850793983884,2026-08-14T14:02:45.089Z,
wormhole,bonus,2.008547414752299,2026-08-14T14:02:57.170Z,
aerosol,bonus,2.0937395710955133,2026-08-14T14:03:15.680Z,
neanderthal,answer-rare,,2026-08-14T14:04:11.969Z,
despotic,bonus,0.8457498495158665,2026-08-14T21:00:03.337Z,
posthypnotic,bonus,0.7472894010887658,2026-08-14T21:00:13.640Z,
quadratic,bonus,1.6302208429996097,2026-08-14T21:00:38.853Z,
quixotic,bonus,0.637411034235997,2026-08-14T21:00:45.521Z,
fourths,bonus,,2026-08-15T17:43:46.522Z,
clotheshorse,bonus,0.6374110342359978,2026-08-15T17:43:49.406Z,
counterforce,bonus,1.5979541050603057,2026-08-15T17:43:52.852Z,
midcourse,bonus,1.4367824574458699,2026-08-15T17:44:08.039Z,
perforce,bonus,0.016369873510654276,2026-08-15T17:44:15.055Z,
nonrecourse,bonus,0.44906228298414635,2026-08-15T17:44:19.759Z,
swapper,bonus,1.3386346040022743,2026-08-21T15:38:45.858Z,
flopper,bonus,1.1089614594906694,2026-08-21T15:38:52.337Z,
festoon,bonus,0.5665793617425928,2026-09-02T18:24:12.089Z,
poon,bonus,0.05203225302932816,2026-09-02T18:25:10.410Z,
neptune,answer-common,,2026-09-02T18:25:30.833Z,
rangoon,answer-rare,,2026-09-02T18:25:36.583Z,
chaste,bonus,1.6093632058250735,2026-09-02T23:24:53.447Z,
foretaste,bonus,0.42614800784127865,2026-09-02T23:25:06.664Z,
lambaste,bonus,0.6729213879045187,2026-09-02T23:26:09.603Z,
chaste,answer-common,1.6093632058250735,2026-09-02T23:27:06.022Z,
buckskin,bonus,1.1974200896569456,2026-09-07T19:14:13.379Z,
finn,bonus,,2026-09-07T19:14:23.165Z,
ginn,bonus,,2026-09-07T19:14:27.085Z,
herein,bonus,1.132319820802605,2026-09-07T19:14:32.849Z,
immunoglobulin,bonus,0.7169511238066608,2026-09-08T14:24:13.826Z,
consanguine,bonus,0.0522060830388396,2026-09-08T14:24:44.730Z,
terrapin,bonus,0.8061106902474987,2026-09-08T14:24:56.776Z,
wineskin,bonus,0.5123586856035207,2026-09-08T14:25:10.108Z,
redskin,bonus,1.636399051577308,2026-09-08T14:25:14.495Z,
oilskin,bonus,0.9270612442548198,2026-09-08T14:25:16.693Z,
godforsaken,bonus,1.6317125887402817,2026-09-08T14:25:22.507Z,
gherkin,bonus,0.8328190157944384,2026-09-08T14:25:24.786Z,
breastpin,bonus,0.3717852179119053,2026-09-08T14:25:28.538Z,
bowfin,bonus,0.07158480760776927,2026-09-08T14:25:29.991Z,
jerkin,bonus,0.3274423582947335,2026-09-08T14:25:37.062Z,
norepinephrine,bonus,0.148649465543226,2026-09-08T14:25:48.421Z,
abloom,bonus,0.5335739089454,2026-09-08T15:13:26.942Z,
anteroom,bonus,0.5574975976425445,2026-09-08T15:13:29.685Z,
barroom,bonus,0.28044794388215016,2026-09-08T15:13:36.272Z,
bookroom,bonus,0.664740920156544,2026-09-08T15:13:41.793Z,
broadloom,bonus,0.08401629220463777,2026-09-08T15:13:46.597Z,
chartroom,bonus,0.8468698502972105,2026-09-08T15:13:49.758Z,
checkroom,bonus,0.8056706069122923,2026-09-08T15:13:51.560Z,
cloakroom,bonus,1.4798763433943762,2026-09-08T15:13:54.804Z,
clubroom,bonus,1.1407330164164828,2026-09-08T15:13:56.606Z,
coatroom,bonus,1.3874843577472813,2026-09-08T15:13:58.318Z,
dayroom,bonus,1.2537009048935632,2026-09-08T15:14:09.240Z,
disentomb,bonus,0.6200893870657537,2026-09-08T15:14:12.473Z,
elbowroom,bonus,0.9025650988028296,2026-09-08T15:14:17.565Z,
grillroom,bonus,0.1830889053644406,2026-09-08T15:14:26.908Z,
guardroom,bonus,1.1399220780477266,2026-09-08T15:14:31.109Z,
handloom,bonus,0.749734484235401,2026-09-08T15:14:33.025Z,
gunroom,bonus,0.795072330985022,2026-09-08T15:14:36.094Z,
houseroom,bonus,0.24697689113606655,2026-09-08T15:14:44.280Z,
legroom,bonus,0.9574972643454993,2026-09-08T15:14:47.836Z,
lunchroom,bonus,1.8761157590793918,2026-09-08T15:14:53.328Z,
multivolume,bonus,1.1006597365140236,2026-09-08T15:15:04.592Z,
pressroom,bonus,1.5579656997171258,2026-09-08T15:15:19.513Z,
reassume,bonus,0.8222229839939184,2026-09-08T15:15:25.538Z,
rheum,bonus,0.03906599490472554,2026-09-08T15:15:34.030Z,
saleroom,bonus,0.6900702671293953,2026-09-08T15:15:39.030Z,
salesroom,bonus,1.8987591242895698,2026-09-08T15:15:41.337Z,
